Battle_of_Placito,causalties,Unknown,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Battle_of_Placito,combatant,Apache,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Battle_of_Placito,commander,John_Pulliam,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/Person', set()]"
Battle_of_Placito,date,1861-09-08,Valid,"['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#date', set()]"
Battle_of_Placito,isPartOfMilitaryConflict,American_Civil_War,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Battle_of_Placito,isPartOfMilitaryConflict,Apache_Wars,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}]"
Battle_of_Placito,result,Confederate victory,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Christian_Führer,knownFor,Monday_demonstrations_in_East_Germany,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}, '', set()]"
2003_Central_African_Republic_coup_d'état,place,Central_African_Republic,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/PopulatedPlace'}]"
2003_Central_African_Republic_coup_d'état,causalties,Unknown,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,*,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Support:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Alleged support:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Libya,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,Government of the Central African Republic,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
2003_Central_African_Republic_coup_d'état,combatant,CEMAC:,Valid,"['http://dbpedia.org/ontology/MilitaryConflict', {'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MilitaryConflict'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
