Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/SoccerClub', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/SportsClub'}",0,10,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Place,"{'http://dbpedia.org/ontology/Venue', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Building'}",0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/Airport'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/Station', 'http://dbpedia.org/ontology/RailwayStation'}",0,0,0,0,1,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/Film', 'http://dbpedia.org/ontology/Work'}",0,0,0,4,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/NaturalPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/PopulatedPlace,"{'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,2,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Province,"{'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Region', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/RecordLabel,"{'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Company'}",3,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/RecordLabel,"{'http://dbpedia.org/ontology/PeriodicalLiterature', 'http://dbpedia.org/ontology/Work', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Magazine'}",1,0,0,0,0,0,0,0,0,0,0,0
