Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
era,2,0,0,0,77,0,0,117,255,0,5,3,0
eruptionYear,0,0,0,5,0,0,0,0,0,0,0,0,0
escapeVelocity,0,0,0,0,0,0,0,0,0,9,0,0,0
established,0,0,0,0,0,0,0,0,0,0,1,0,0
ethnicGroup,44,0,0,626,40,1,0,0,0,0,1,6,0
ethnicGroupsInYear,0,0,0,0,2,0,0,0,0,0,0,0,0
ethnicity,3,0,0,0,0,0,0,0,0,0,0,0,0
executiveProducer,0,1,0,1,0,0,0,363,0,0,0,37,0
faaLocationIdentifier,0,0,0,0,0,0,0,0,0,0,0,0,2
facultySize,0,0,0,0,0,0,0,0,0,0,0,31,0
failedLaunches,0,0,0,0,0,0,0,0,0,0,0,0,5
family,0,0,540,0,0,0,0,0,0,0,0,0,0
fastestDriver,0,0,0,0,0,0,0,187,0,0,0,0,0
fastestDriverCountry,0,0,0,9,0,0,0,0,0,0,0,0,0
fastestDriverTeam,0,0,0,0,0,0,0,0,0,0,0,0,1
fate,0,0,0,0,2,0,0,0,0,0,0,0,1
father,0,0,0,1,1,0,0,61,0,0,1,1,0
fdaUniiCode,0,0,0,0,0,0,0,0,0,4,0,0,0
feastDay,0,0,0,0,0,0,0,2,0,0,1,0,0
federalState,0,0,0,127,0,0,0,0,0,0,0,0,0
field,8,1383,10,3,63,147,103,82,43,16,8,411,234
film,0,3,0,0,0,0,0,0,0,0,0,0,0
finalFlight,0,0,0,0,0,0,0,0,0,0,0,0,5
firstAppearance,0,0,0,0,0,4,0,0,0,0,0,0,0
firstAscentPerson,0,0,0,21,19,0,0,5,0,0,0,0,0
firstAscentYear,0,0,0,9,0,0,0,0,0,0,0,0,0
firstDriver,0,0,0,6,0,0,0,292,0,0,0,0,0
firstDriverCountry,0,0,0,11,0,0,0,0,0,0,0,0,0
firstDriverTeam,0,0,0,0,0,0,0,0,0,0,0,0,3
firstLeader,0,0,0,1,0,0,0,271,0,0,0,0,0
firstPublicationDate,0,0,0,0,0,0,0,0,0,0,0,1,0
firstPublicationYear,0,0,0,0,0,0,0,0,0,0,0,1,0
firstWinner,0,0,0,1,0,0,0,0,0,0,0,0,0
floorArea,0,6,0,0,0,0,0,0,0,0,0,0,0
floorCount,0,7,0,0,0,0,0,0,0,0,0,0,0
focus,0,0,13,0,0,0,0,0,0,0,0,7,0
followingEvent,0,0,0,1,0,0,0,0,0,0,0,0,0
format,2,191,1,1,0,33,0,1,0,2,1,261,43
formationDate,0,4,0,0,3,0,0,0,0,0,0,2,0
formationYear,0,0,0,0,3,0,0,0,0,0,0,3,0
formerBandMember,1,131,1,1,0,1,0,176,0,0,0,0,0
formerBroadcastNetwork,0,2,0,0,0,0,0,0,0,0,0,104,0
formerChoreographer,0,0,0,0,0,0,0,2,0,0,0,0,0
formerCoach,0,0,0,0,0,0,0,11,0,0,0,0,0
formerName,0,3,0,0,0,0,0,0,0,12,0,43,2
formerPartner,0,0,0,0,0,0,0,3,0,0,0,0,0
formerTeam,0,53,0,24,0,0,0,16,0,0,2,4,1
foundationPlace,0,0,0,17,0,0,0,0,0,0,0,0,0
foundedBy,0,1,1,107,27,0,0,777,0,2,19,147,35
founder,3,1,1,51,31,1,0,66,0,0,1,15,0
foundingDate,0,3,0,144,33,0,0,0,0,0,0,126,15
foundingYear,0,8,0,0,69,0,0,0,0,0,0,31,14
fourthCommander,0,0,0,0,0,0,0,0,0,0,0,8,0
frazioni,0,0,0,10,0,0,0,1,0,0,0,0,1
frequency,0,0,0,0,0,0,0,0,0,6,0,0,0
frequencyOfPublication,0,0,0,0,0,0,0,0,0,0,0,1,0
frozen,0,0,0,9,0,0,0,0,0,0,0,0,0
fuelSystem,0,0,0,0,0,0,0,0,0,1,0,0,2
fuelType,0,0,0,0,0,0,0,0,0,35,0,6,65
gameArtist,0,0,0,0,0,0,0,2,0,0,0,0,0
gameEngine,0,0,0,0,0,0,0,0,0,1,0,0,17
garrison,0,3,1,2223,39,0,0,0,0,1,0,1,0
gdpPerCapita,0,0,0,0,1,0,0,0,0,0,0,0,0
gender,0,0,101,4,0,8,0,0,0,0,2,6,0
geneReviewsId,0,0,2,0,0,0,0,0,0,0,0,0,0
geneReviewsName,0,0,1,0,0,0,0,0,0,0,0,0,0
genre,143,4943,176,57,294,985,88,300,341,271,366,1770,1404
genus,0,0,35,0,0,0,0,0,0,0,0,0,0
giniCoefficient,0,0,0,173,0,0,0,0,0,0,0,2,0
glycemicIndex,0,0,0,0,0,0,0,0,0,0,0,0,1
goldMedalist,0,0,0,0,0,0,0,210,0,0,0,0,0
governingBody,0,0,0,162,0,0,0,0,0,0,0,59,0
governmentType,1,0,1,378,281,50,0,0,0,1,8,1073,1
governor,0,0,0,0,0,0,0,69,0,0,0,0,0
governorGeneral,0,0,0,0,0,0,0,6,0,0,0,0,0
grades,0,0,0,0,0,0,4,0,0,2,0,80,0
grandsire,0,0,4,2,0,0,0,3,0,0,0,0,0
greekName,0,0,12,0,0,0,0,0,0,0,0,0,0
gridReference,0,0,1,1,0,0,0,0,0,0,0,0,0
gross,0,3,0,0,0,0,0,0,0,0,0,0,0
grossDomesticProduct,0,0,0,1,0,0,0,0,0,0,0,1,0
ground,0,33,4,5002,2,0,0,1,0,0,0,2,0
growingGrape,0,1,0,5,0,0,0,0,0,0,0,0,0
hallOfFame,0,0,0,0,0,0,0,8,0,0,0,0,0
hasVariant,0,0,85,8,0,0,0,0,0,1,0,0,204
head,0,0,0,0,0,0,0,0,0,0,1,10,0
headAlloy,0,0,0,0,0,0,0,0,0,53,0,0,52
headquarter,0,57,1,15088,118,1,0,4,0,0,0,208,6
height,0,22,0,0,0,0,0,129,0,0,0,0,16
highest,0,0,0,86,0,0,0,0,0,2,0,0,0
highschool,0,0,0,274,0,0,0,5,0,0,0,0,0
homeStadium,0,28,0,502,0,0,0,1,0,0,0,0,0
homeport,0,0,0,704,1,0,0,1,0,0,0,0,0
hometown,23,7,8,10099,93,8,0,12,0,3,0,37,0
honours,0,2,0,7,1,0,0,16,0,0,0,1,0
house,0,0,0,158,7,0,0,0,0,0,0,9,0
hubAirport,0,0,0,81,0,0,0,0,0,0,0,0,16
humanDevelopmentIndex,0,0,0,192,1,0,0,0,0,0,0,6,0
hybrid,0,0,13,0,0,0,0,0,0,0,0,0,1
iataLocationIdentifier,0,0,0,0,0,0,0,0,0,0,0,0,3
icaoLocationIdentifier,0,0,0,0,0,0,0,0,0,0,0,0,3
icd10,12,0,231,0,0,0,0,0,0,0,0,9,3
icd9,5,0,191,0,0,0,0,0,0,0,0,12,3
icdo,0,0,4,0,0,0,0,0,0,0,0,0,0
identificationSymbol,0,0,0,0,1,0,0,0,0,0,0,0,0
ideology,13,5,2,58,128,20,0,19,63,2,179,1958,6
illustrator,0,0,0,0,0,4,0,63,0,1,0,0,0
imdbId,0,4,0,0,0,2,0,101,0,0,2,6,0
impactFactor,0,0,0,0,0,0,0,0,0,0,0,1,0
importantStation,0,0,0,27,0,0,0,0,0,0,0,4,4
incumbent,0,0,0,0,0,0,0,1,0,0,0,0,0
industry,10,1395,471,5,23,35,1,0,12,529,17,1846,5178
inflow,0,1,0,917,0,0,0,0,0,36,0,0,6
influenced,0,0,0,1,0,1,0,305,6,0,1,0,206
influencedBy,0,1,0,0,2,1,0,1765,5,0,16,3,385
ingredient,0,0,1856,1,0,1,0,0,0,131,0,0,2994
ingredientName,0,0,0,0,0,0,0,0,0,0,0,0,39
