Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Sydney_Opera_House,75,28,86,14,64,14
Seven_Wonders_of_the_Ancient_World,0,0,0,0,0,0
Colossus_of_Rhodes,0,0,0,0,0,0
Great_Pyramid_of_Giza,100,1,0,0,100,1
Hanging_Gardens_of_Babylon,0,0,0,0,0,0
Lighthouse_of_Alexandria,67,3,67,3,0,0
Mausoleum_at_Halicarnassus,64,11,64,11,0,0
Statue_of_Zeus_at_Olympia,0,0,0,0,0,0
Temple_of_Artemis,100,1,0,0,100,1
Music,78,389,0,0,78,389
Choir,4,113,0,0,4,113
Interval,0,0,0,0,0,0
Major,0,0,0,0,0,0
Minor,0,0,0,0,0,0
Musical_improvisation,96,52,0,0,96,52
Scale_(music),0,0,0,0,0,0
Orchestra,7,83,0,0,7,83
Rhythm,25,4,0,0,25,4
Singing,3,178,0,0,3,178
Song,89,122,0,0,89,122
Musicology,24,91,0,0,24,91
Articulation,0,0,0,0,0,0
Counterpoint,0,1,0,0,0,1
Music_theory,46,50,0,0,46,50
Musical_form,0,2,0,0,0,2
Mode_(music),0,0,0,0,0,0
Twelve-tone_technique,100,2,0,0,100,2
Music_video,58,45,0,0,58,45
Rapping,35,158,0,0,35,158
Melody,0,61,0,0,0,61
Harmony,50,2,0,0,50,2
Chord,0,0,0,0,0,0
Medieval_music,100,20,0,0,100,20
Renaissance_music,84,32,0,0,84,32
Baroque_music,95,61,0,0,95,61
Classical_period,0,0,0,0,0,0
Romantic_music,97,38,0,0,97,38
Religious_music,100,45,0,0,100,45
20th-century_classical_music,97,30,0,0,97,30
Impressionism_in_music,0,4,0,0,0,4
Expressionist_music,100,2,0,0,100,2
Neoclassicism,76,216,0,0,76,216
Contemporary_music,98,56,0,0,98,56
Serialism,100,2,0,0,100,2
Aleatoric_music,100,3,0,0,100,3
Minimal_music,100,65,100,1,100,64
Classical_music,76,217,0,0,76,217
Aria,0,2,0,0,0,2
Canon,0,0,0,0,0,0
Cantata,100,1,0,0,100,1
Chamber_music,64,85,0,0,64,85
Concerto,0,1,0,0,0,1
Étude,0,0,0,0,0,0
Fugue,0,0,0,0,0,0
Hymn,86,56,0,0,86,56
Lied,80,10,0,0,80,10
Madrigal,83,6,0,0,83,6
Mass,0,0,0,0,0,0
Opera,62,138,0,0,62,138
Overture,0,0,0,0,0,0
Prelude,0,0,0,0,0,0
Requiem,0,1,0,0,0,1
Sonata,0,0,0,0,0,0
Suite,0,0,0,0,0,0
Symphonic_poem,100,1,0,0,100,1
Symphony,84,19,0,0,84,19
Blues,96,180,100,29,95,151
Country,100,3,0,0,100,3
Dance_music,96,111,100,5,96,106
Easy_listening,100,124,100,11,100,113
Electronic_music,83,161,100,18,81,143
Film_score,53,122,0,0,53,122
Folk_music,69,217,100,11,67,206
Gamelan,31,26,16,19,71,7
Gregorian_chant,100,9,0,0,100,9
Hip_hop_music,90,352,86,214,96,138
Jazz,82,265,62,47,86,218
Bebop,100,67,100,7,100,60
Dixieland_jazz,83,76,14,14,98,62
Free_jazz,100,73,100,8,100,65
Swing_music,99,85,100,3,99,82
Klezmer,94,68,82,11,96,57
National_anthem,78,9,0,0,78,9
Pop_music,98,109,100,43,97,66
Reggae,97,150,96,24,98,126
Rhythm_and_blues,95,178,87,52,98,126
Soul_music,98,167,96,24,98,143
Rock_music,99,122,98,62,100,60
Heavy_metal_music,98,121,0,0,98,121
Schlager_music,92,74,100,13,90,61
World_music,97,94,100,3,97,91
Disco,98,146,100,29,97,117
Funk,100,158,100,41,100,117
Ragtime,95,84,87,15,97,69
Alternative_rock,100,90,100,31,100,59
Punk_rock,97,169,100,47,96,122
Rock_and_roll,97,139,100,15,97,124
Singer-songwriter,0,101,0,0,0,101
Musical_instrument,85,88,0,0,85,88
Accordion,6,86,0,0,6,86
Brass_instrument,44,34,0,0,44,34
Alto_saxophone,4,52,0,0,4,52
Bass_guitar,27,183,0,0,27,183
Bass_drum,0,10,0,0,0,10
Bassoon,2,49,0,0,2,49
Bells,0,0,0,0,0,0
Bongo,0,0,0,0,0,0
Carillon,85,13,0,0,85,13
Cello,7,116,0,0,7,116
Celeste,0,0,0,0,0,0
Tubular_bells,0,6,0,0,0,6
Clarinet,10,77,0,0,10,77
Contrabassoon,50,2,0,0,50,2
Cornet,9,58,0,0,9,58
Drum,7,59,0,0,7,59
Electronic_musical_instrument,22,36,0,0,22,36
Electric_guitar,45,112,0,0,45,112
Electric_piano,0,20,0,0,0,20
Music_sequencer,1,72,0,0,1,72
Synthesizer,14,79,0,0,14,79
Cor_anglais,5,19,0,0,5,19
Euphonium,0,26,0,0,0,26
Flugelhorn,4,53,0,0,4,53
Flute,4,115,0,0,4,115
Horn_(instrument),0,9,0,0,0,9
Guitar,10,166,0,0,10,166
Harmonica,3,67,0,0,3,67
Pump_organ,5,64,0,0,5,64
Harp,3,64,0,0,3,64
Harpsichord,3,65,0,0,3,65
Lyre,0,4,0,0,0,4
Oboe,3,65,0,0,3,65
Piano,27,181,0,0,27,181
Piccolo,9,23,0,0,9,23
Pipe_organ,28,88,0,0,28,88
Recorder,0,0,0,0,0,0
Saxophone,5,96,0,0,5,96
Snare_drum,17,24,0,0,17,24
Sousaphone,0,11,0,0,0,11
Double_bass,8,90,0,0,8,90
String_instrument,33,27,0,0,33,27
Timpani,0,19,0,0,0,19
Trombone,7,85,0,0,7,85
Trumpet,8,89,0,0,8,89
Tuba,5,58,0,0,5,58
Vibraphone,0,55,0,0,0,55
Viola,5,103,0,0,5,103
Violin,10,137,0,0,10,137
Xylophone,0,27,0,0,0,27
Zither,9,11,0,0,9,11
Mandolin,29,87,0,0,29,87
Lute,4,55,0,0,4,55
Wind_instrument,40,5,0,0,40,5
Woodwind_instrument,22,37,0,0,22,37
Bagpipes,8,62,0,0,8,62
Percussion_instrument,9,108,0,0,9,108
Cymbal,90,10,0,0,90,10
The_Four_Seasons_(Vivaldi),0,1,0,0,0,1
Symphony_No._5_(Beethoven),0,2,0,0,0,2
Symphony_No._9_(Beethoven),0,3,0,0,0,3
Carmen,0,2,0,0,0,2
Don_Giovanni,0,1,0,0,0,1
Madama_Butterfly,50,2,0,0,50,2
The_Magic_Flute,50,2,0,0,50,2
Der_Ring_des_Nibelungen,0,0,0,0,0,0
La_traviata,0,0,0,0,0,0
Swan_Lake,57,7,100,3,25,4
